"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"88-17278/2026";"14.07.2026";"2-1287/2025";"маляр";"ООО «Регионстрой»";"оклад по ранее оформленному договору, штатному расписанию";"17 000 руб.";"оставлено без изменения";"П. 23 справочно; приоритет письменных доказательств над свидетелями"
"2";"88-15670/2026";"24.06.2026";"2-860/2025";"монтажник";"ООО «Олимп-Связь»";"нижестоящие: средняя по профгруппе Росстата";"42 104 руб. vs штатка 24 219 руб.";"отменено, новое рассмотрение";"П. 23 неприменим при наличии штатного расписания; среднеотраслевой показатель не норматив"
"3";"88-16290/2026";"23.06.2026";"2-847/2024 (второй заход)";"юрист";"ООО «Агро-Юг»";"по копии договора и приказу";"35 000 руб.";"оставлено без изменения";"П. 23 справочно; размер из документально подтверждённой договорённости"
"4";"88-13091/2026";"23.06.2026";"2-620/2025";"юрист";"ИП И.Р.";"официальная отчётность 2-НДФЛ/СФР оспорена";"4 000 руб. по отчётности";"отменено в части";"Суд обязан проверить фактически выплачиваемую зарплату; отчётность не истина"
"5";"88-13028/2026";"28.05.2026";"2-1938/2025";"водитель кат. C, E";"ИП Г.";"нижестоящие: МЗП Коми с коэффициентами";"29 172 руб.";"отменено, новое рассмотрение";"МЗП без попытки установить обычное вознаграждение нарушает последовательность п. 23"
"6";"88-7542/2026";"14.04.2026";"2-184/2025 (второй заход)";"слесарь/сторож";"НСТ «Шахтинские Зори»";"штатное расписание + МЗП области для сторожа";"оклад по штатке; МЗП области";"оставлено без изменения";"МЗП по п. 23 точечно — лишь для должности вне штатного расписания"
"7";"88-3976/2026";"05.03.2026";"2-60/2025";"агент по недвижимости";"ИП П.";"регламент агентства (процент от сделок); расчёт не обоснован";"не определён";"отменено, новое рассмотрение";"Суд обязан запросить данные Росстата, оценить систему оплаты"
"8";"88-28458/2025";"05.11.2025";"2-598/2024";"главный специалист";"АО «СО ЕЭС»";"не определялся (спор о компенсации имущества)";"—";"отменено в части";"П. 23 процитирован декларативно вне его предмета; на исход не влиял"
"9";"88-23254/2025";"08.10.2025";"2-676/2024 (второй заход)";"подсобный рабочий";"ИП В.";"обычное вознаграждение по данным Волгоградстата";"средняя зарплата по региону";"оставлено без изменения";"Без письменных доказательств — статистика; отчисления от 1/4 ставки — злоупотребление"
"10";"88-20882/2025";"03.09.2025";"2-847/2024 (первый заход)";"юрист";"ООО «Агро-Юг»";"не определён; указано применить п. 23";"—";"отменено, новое рассмотрение";"Игнор п. 23 при неоформленных отношениях влечёт отмену; обычное вознаграждение — по статистике"
"11";"88-19356/2025";"13.08.2025";"2-184/2025 (первый заход)";"слесарь (совм. электрик, сварщик, сторож)";"СНТ «Шахтинские Зори»";"взыскано по пояснениям истца; указана МЗП региона";"по пояснениям истца";"отменено в части, новое рассмотрение";"Нельзя взыскивать по одним пояснениям истца; при отсутствии доказательств — МЗП региона"
"12";"88-16262/2025";"13.08.2025";"2-1165/2024 (второй заход)";"официант караоке-клуба «Студия 61»";"ИП";"МРОТ × региональный коэффициент 1,2";"МРОТ × 1,2";"оставлено без изменения";"Расчёт от МРОТ×1,2 по волеизъявлению работника допустим; Росстат и типовые договоры отклонены"
"13";"88-17483/2025";"23.07.2025";"2-1328/2024";"начальник участка/геолог";"ООО «Недрапром»";"статистика + зарплата предшественника признаны недостаточными";"не определён";"отменено, новое рассмотрение";"Статистика не заменяет установления индивидуальной зарплаты; нужен собственный расчёт суда"
"14";"88-12670/2025";"22.05.2025";"2-461/2024";"продавец";"ИП ЗМА";"обычное вознаграждение по Крымстату";"32 582 руб.";"оставлено без изменения";"Классика п. 23: средняя по профгруппе «продавец» в регионе"
"15";"88-8295/2025";"17.04.2025";"2-676/2024 (первый заход)";"подсобный рабочий полевой группы";"ИП";"неподписанный проект договора отвергнут; предписан п. 23";"не определён";"отменено в денежной части";"Неподписанный проект договора — не доказательство; бремя на работодателе"
"16";"88-6817/2025";"11.03.2025";"2-805/2022 (второй заход)";"управляющий производством общепита";"ИП П.";"взыскано «по истцу» — отменено; указана статистика";"заявленный размер";"отменено, новое рассмотрение";"Взыскание в заявленном размере без опровержения недопустимо; суд сам истребует статистику"
"17";"88-3937/2025";"18.02.2025";"УИД 23RS0041-01-2022-010489-27";"водитель-экспедитор";"ООО «Эллин групп»";"исследовать «конвертные» доплаты; иначе п. 23";"не определён";"отменено полностью";"«Неофициальную» зарплату нельзя игнорировать формально — исследовать природу выплат"
"18";"88-649/2025-(88-38680/2024)";"29.01.2025";"2-45/2024";"охранник 4 разряда";"ООО ЧОО «Феникс»";"справка работодателя недостаточна; статистика по охраннику";"не определён";"отменено, новое рассмотрение";"Бремя оплаты на работодателе; при неоформленных отношениях — обычное вознаграждение по статистике"
"19";"88-2788/2025";"29.01.2025";"2-1906/2023 (второй заход)";"юрист";"ИП (юрдеятельность)";"совокупность: Волгоградстат + штатное расписание + квитанции";"по статистике и документам";"оставлено без изменения";"После указаний кассации размер обоснован статистикой и документами — соответствует п. 23"
"20";"88-1413/2025";"23.01.2025";"2-615/2024";"администратор отеля «Релакс»";"ИП";"обычное вознаграждение по Крымстату";"22 749–27 327 руб.; переводы выше среднего";"оставлено без изменения (в деньгах отказано)";"Статистика против работника: выплаты выше среднего по профгруппе исключают задолженность"
"21";"8Г-27265/2024 (по приписке; в тексте 88-27265/2024)";"31.10.2024";"2-1165/2024 (первый заход)";"официантка";"ИП (караоке-клуб, Новочеркасск)";"апелляция: ставка за смену по словам истца; статистика не истребована";"по пояснениям истца";"отменено полностью, новое рассмотрение";"Зарплата по показаниям истца без данных статистики — нарушение п. 23"
"22";"88-9394/2024";"28.03.2024";"2-1906/2023 (первый заход)";"юрист";"ИП (юрдеятельность, Волгоград)";"в заявленном размере без доказательств";"заявленный размер";"отменено в части размера";"Обязательна проверка обычного вознаграждения по должности в местности"
