"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"88-16151/2026";"02.07.2026";"—";"администратор спортзала";"ООО «САН-СПОРТ»";"заявленный размер + неопровергнутая соразмерность обычному вознаграждению";"83 000 руб./мес.";"оставлено";"молчание работодателя о соразмерности = её признание; статистика не запрашивается"
"2";"88-15962/2026";"11.06.2026";"—";"генеральный директор";"ООО «ПРОКИП»";"переписка с участником + 2-НДФЛ + ИЛС";"—";"оставлено";"п. 23 «наоборот»: отсутствие доказательств превышения над обычным вознаграждением закрепляет заявленную сумму"
"3";"88-8878/2026";"31.03.2026";"—";"SMM-специалист";"ООО «Эйвон Бьюти Продактс Компани»";"все выплаты по ГПД без очистки от нетрудовых сумм (ошибочно)";"10 256 001,80 руб. (отменено)";"отменено в части";"из базы исключаются компенсации расходов и налогов; пояснения истца о структуре выплат подлежат оценке"
"4";"88-28961/2025";"27.11.2025";"—";"монтажник кондиционеров";"ООО «Стройуниверсал-99»";"расчётный листок + соразмерность не оспорена";"7 000 руб./смена";"оставлено";"субъектное ограничение п. 23 игнорируется; довод о неприменимости к немикропредприятию отклонён"
"5";"88-14256/2025";"10.06.2025";"—";"генеральный директор";"ООО «Райз Трейд»";"разовые поступления / механический МРОТ (ошибочно)";"—";"отменено полностью";"программное: п. 23 для всех субъектов; бремя на работодателе; сначала — обычное вознаграждение"
"6";"88-7771/2025";"29.05.2025";"—";"менеджер-оператор логистики";"ООО «Сифуд Лайн» (СМП)";"оформленный договор + штатное расписание";"34 500 руб. + премии";"отказ оставлен";"при согласованных условиях оплаты п. 23 не включается (против работника)"
"7";"8Г-2969/2025 [88-4453/2025]";"11.03.2025";"—";"оператор ПВЗ Wildberries";"ИП";"свидетели о фактических выплатах";"20 000–25 000 руб.";"оставлено";"свидетели о фактических выплатах допустимы; МРОТ — последняя ступень"
"8";"88-1319/2025";"06.02.2025";"—";"прораб";"ООО «Абсолют Инвест»";"Росстат (мастера в строительстве, Москва) вместо МРОТ";"66 785 руб.";"оставлено в части";"автоматический МРОТ исправляется статистикой по п. 23"
"9";"88-32197/2024";"19.12.2024";"—";"помощник адвоката";"адвокат (физлицо)";"фактические выплаты по банковским выпискам";"62 609,08 руб./мес.";"оставлено";"письменные доказательства выплат первичнее заявленного оклада и свидетелей"
"10";"2-3041/2023";"27.08.2024";"2-3041/2023";"менеджер по продажам";"ООО «РОНА-Сервис»";"объективный ориентир (статистика по периодам)";"37 456 / 41 520 / 50 361 руб.";"оставлено";"суд не связан заявленными 90 000; статус ИП истца не препятствие"
"11";"без номера";"30.07.2024";"—";"юрисконсульт по совместительству";"ООО «СтройПроект»";"п. 23 (механизм не раскрыт)";"131 467,76 руб.";"оставлено";"п. 23 к обычному ООО; суд не связан устной договорённостью"
"12";"без номера";"11.06.2024";"—";"старший аналитик";"ООО «Облачные Решения»";"штатное расписание + первоначальная позиция истца";"138 000 руб.";"оставлено";"п. 23 + ст. 139 для прогула; позднее завышение истца — ему во вред"
"13";"88-11507/2024";"07.05.2024";"2-4540/2022";"бухгалтер";"ООО «ИСМА»";"заявленный размер ≤ обычного вознаграждения (фильтр)";"84 138 руб.";"оставлено";"«белая» часть по ПФР не опровергает устную договорённость о большем"
