"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"88-7492/2026";"28.05.2026";"2-2584/2025";"Х., директор";"ООО Гео-Софт";"Письменные сведения о 0,25 ставки; статистика отвергнута";"13 000 руб.; статистика 159 199 руб.";"Апелляция без изменения; зарплатный долг не взыскан";"Независимые налоговые и пенсионные данные имеют приоритет перед статистикой"
"2";"88-6250/2026";"05.05.2026";"2-4716/2025";"Ю., врач-офтальмолог";"ООО Центр микрохирургии глаза Северное сияние";"Средняя зарплата врача по Свердловской области";"104 115 руб.; взыскано 123 069,74 руб. долга";"Акты без изменения";"Единая ставка и непрозрачные премии не подтверждают реальную оплату"
"3";"88-5809/2026";"28.04.2026";"2-1540/2025";"С.П., разнорабочий";"ИП П.С.";"Средняя зарплата рабочих обрабатывающей промышленности";"48 192 руб.; выплачено 128 000 руб.";"Трудовые отношения установлены; в деньгах отказано";"Статистика может показать отсутствие долга при выплатах выше обычного вознаграждения"
"4";"88-4554/2026";"07.04.2026";"2-4065/2025";"М.В., оператор";"ООО Серебряные Ключи";"Средняя зарплата операторов по Тюменской области";"53 975 руб.; взыскано 72 602,72 руб.";"Акты без изменения";"Статистика сочетается с доказанным режимом и фактическими выплатами"
"5";"88-4709/2026";"02.04.2026";"2-448/2025";"Л., медицинская сестра";"АНО Надымская промышленная медицина";"Договорные суммы; спорные северные выплаты";"46 724–57 471 руб.; 80% + 70% надбавок";"Денежная часть отменена; новое рассмотрение";"Северные выплаты требуют проверки системы оплаты и сопоставимых работников"
"6";"88-3202/2026";"19.03.2026";"2-1327/2025";"К.М., курьер-экспедитор";"ООО СЛС";"Апелляция использовала статистику курьера; кассация потребовала оценить 2-НДФЛ";"64 236 руб.; фактические выплаты 60 000–80 000 руб.";"Апелляция отменена; новое рассмотрение";"Статистика не заменяет письменные данные о фактической зарплате"
"7";"88-2798/2026";"10.03.2026";"2-1924/2025";"Н., исполнительный директор";"ИП К.";"Банковские переводы; приказ 20 000 руб. отвергнут";"Заявлено 150 000 руб.; первая инстанция взыскала 1 170 731,20 руб.";"Апелляция частично отменена; новое рассмотрение";"Нужно исследовать конкретные переводы, а не зарплату в другой организации"
"8";"88-1767/2026";"12.02.2026";"2-606/2025";"Н.А., главный инженер";"ООО Строительная компания Гранитъ";"Договорный оклад + подтвержденные премии";"19 000,30 руб. + премии; долг 451 622,49 руб.";"Апелляция без изменения";"Документированные премии не превращаются в постоянный оклад"
"9";"88-2005/2026";"12.02.2026";"2-2210/2025";"А., руководитель направления по совместительству";"ООО Промавтоснаб";"Статистика руководителей торговли с учетом 0,5 ставки";"95 943 руб. × 0,5; зарплата 575 658 руб.";"Акты без изменения";"Статистическая база корректируется на долю занятости"
"10";"88-1069/2026";"29.01.2026";"2-321/2025";"Ш., водитель автобуса";"ИП М.Д.";"Статистика водителей пассажирского транспорта";"50 855 руб.; долг 79 829,80 руб.";"Акты без изменения";"Сопоставимая региональная статистика допустима без письменного соглашения"
