"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"88-1551/2026";"12.03.2026";"2-1272/2025";"А., мастер/бригадир расчистки ЛЭП";"ИП Д.";"МЗП Сахалинской обл. с РК/СН (нижестоящие суды)";"МЗП субъекта";"отменено, новое рассмотрение";"МЗП без попытки установить обычное вознаграждение по должности — основание отмены"
"2";"88-1731/2026";"05.03.2026";"2-235/2025";"Ч., специалист по охране труда";"ООО «Сибтэк»";"МРОТ РФ с РК/СН, пропорционально совместительству";"МРОТ + РК/СН";"оставлено без изменения";"МРОТ с надбавками правомерен при отсутствии письменных доказательств и контррасчёта"
"3";"88-2385/2026";"19.03.2026";"2-383/2025";"К.А.ИА., руководитель подразделения";"ООО «Миг»";"статданные Росстата по месту фактической работы";"обычное вознаграждение по местности работы";"оставлено без изменения";"«Местность» = место исполнения обязанностей; удалёнка — по месту жительства работника"
"4";"88-1168/2026";"05.03.2026";"2-2062/2025";"Б., крановщик 7–8 разряда";"ООО «ВЛКСервис»";"статданные Приморскстата по группе занятий";"средняя по группе занятий";"оставлено без изменения";"Договорённость в WhatsApp не заменяет письменные доказательства размера зарплаты"
"5";"88-9978/2025";"18.12.2025";"2-23/2025";"Я., помощник юриста";"ООО «Фармпрепараты»";"п. 23 неприменим: есть письменный договор";"договор";"оставлено без изменения";"П. 23 не применяется при письменном договоре; суд не меняет условия оплаты"
"6";"88-7589/2025";"16.10.2025";"2-49/2024";"П., охранник";"ООО «ЧОО Дивизион»";"минимальная зарплата (МРОТ/МЗП)";"МРОТ/МЗП";"оставлено без изменения";"Заявленная почасовая ставка без письменного подтверждения не применяется"
"7";"88-7990/2025";"30.10.2025";"2-901/2025";"ФИО1, начальник юрслужбы";"ООО «РДС»";"статданные Приморскстата по должности";"80 353 руб.";"частично отменено (ст. 236 ТК)";"Устная договорённость о высокой зарплате уступает статистике по должности"
"8";"88-5974/2025";"02.10.2025";"2-2007/2024";"8 рыбаков прибрежного лова";"ИП Б.Я.С. (микропредприятие)";"средний заработок по ОКВЭД 03.1 региона";"отраслевая статистика";"оставлено без изменения";"Допустима отраслевая статистика ОКВЭД при отсутствии данных по профессии МСП"
"9";"88-3765/2025";"07.08.2025";"2-8786/2024";"ФИО1, охранник";"ООО ЧОП «Галиаф+»";"расчёт истца из прожиточного минимума";"прожиточный минимум";"оставлено без изменения";"Расчёт из прожиточного минимума принят при молчании работодателя о размере оплаты"
"10";"88-3940/2025";"05.06.2025";"2-1211/2024";"Р., начальник участка/горный мастер";"ООО «Универсал-ВМ»";"цена ГПХ-договора подряда";"цена ГПХ";"оставлено без изменения";"Цена ГПХ-договора — доказательство размера оплаты, обычное вознаграждение не нужно"
