"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"88-9645/2026";"24.06.2026";"2-2612/2025";"гендиректор А.";"ООО ""АРТБЕКС"" (СПб)";"МЗП субъекта (ст. 133.1 ТК)";"МЗП СПб 23 500 руб.";"оставлено без изменения";"Без сведений об обычном вознаграждении от работника — расчёт от МЗП субъекта"
"2";"88-8079/2026";"08.06.2026";"обезличено";"официант Д.";"ИП К. (Калининград)";"обычное вознаграждение — статистика профгруппы";"Калининградстат 36 696,8 руб.";"оставлено без изменения";"Обычное вознаграждение — только по статистике профгруппы; система оплаты ИП и иной Росстат отклонены"
"3";"88-7966/2026";"03.06.2026";"обезличено";"водитель лесовоза С.";"ИП И. (Коми)";"обычное вознаграждение — статистика + справки работодателей";"Комистат 84 378 руб.";"оставлено без изменения";"Обычное вознаграждение — по совокупности статданных и справок; довод ИП о МЗП противоречит п. 23"
"4";"88-5766/2026";"01.04.2026";"обезличено";"начальник охраны С.";"ООО ""Нью Айвент"" (СПб)";"обычное вознаграждение — статистика + справки ответчика";"по статистике региона";"оставлено без изменения";"МЗП субсидиарна: при установимом обычном вознаграждении расчёт от МЗП недопустим"
"5";"88-5578/2026";"01.04.2026";"обезличено";"уборщица З.Л.А.";"ООО ""Лювекс"" (Новгород)";"объяснения истца, верифицированные статистикой";"20 000 руб. (Новгородстат 24 199,1 руб.)";"оставлено без изменения";"Объяснения работника о зарплате допустимы, если согласуются со статданными региона"
"6";"88-4710/2026";"16.03.2026";"2-792/2024 (заход 1)";"водитель П.Н.";"ИП В.П. и ИП В.В. (Коми)";"обычное вознаграждение — статистика, не цена ГПХ";"Комистат 84 378 руб.";"оставлено без изменения";"Цена ГПХ-договора, прикрывающего труд, не определяет зарплату; применено обычное вознаграждение"
"7";"88-2024/2026";"11.02.2026";"обезличено";"юрист А.";"ООО ""Лучшие юристы"" (СПб)";"суды: вакансия HeadHunter 80 000 руб.";"80 000 руб. из вакансии";"отменено в части, новое рассмотрение";"П. 23 не отменяет исследования систем оплаты труда; штатное расписание без мотивов отклонять нельзя"
"8";"88-2501/2026";"09.02.2026";"обезличено";"управляющая П.";"ООО ""Лавви"" (Мурманск)";"МРОТ + районный коэффициент и северная надбавка";"федеральный МРОТ с северными повышениями";"оставлено без изменения";"Вакансия в интернете — не доказательство размера; при недоказанности — гарантийный минимум с северными"
"9";"88-1484/2026";"04.02.2026";"обезличено";"производитель работ А.";"ООО ""Интерра"" (СПб)";"признание ответчика о подряде (20 000 руб.)";"20 000 руб.";"отменено полностью, новое рассмотрение";"Недопустима смена трудового спора на подряд (ст. 39 ГПК); цена — по п. 3 ст. 424 ГК"
"10";"88-19749/2025";"24.11.2025";"обезличено";"замдиректора по правовым вопросам П.";"ООО ""Формула Счастья"" (Ленобл.)";"обычное вознаграждение — статистика по профгруппам";"Петростат 69 355 руб.";"оставлено без изменения";"Размер — из статданных по профгруппам региона; сведения СФР и переписка подтверждают отношения"
