"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"88-15806/2026";"13.07.2026";"2-7961/2025";"бармен → менеджер по продажам";"ООО «Спортбич»";"не определялся (отмена)";"—";"отменено полностью, новое рассмотрение";"п. 23 входит в предмет доказывания: суд обязан выяснять реальные условия оплаты («серая» часть, проценты), оценивать переписку"
"2";"88-18913/2026";"07.07.2026";"УИД 50RS0035-01-2025-012698-75";"охранник";"АО «ЗиО-Подольск»";"расчёт истца (ставка × смены)";"4 500 руб./смена, 252 000 руб.";"оставлено";"при неактуальной статистике и молчании работодателя — расчёт истца; п. 23 применён к крупному АО"
"3";"88-12117/2026";"04.05.2026";"2-2602/2025";"администратор салона";"ИП";"не определялся (отмена)";"—";"отменено в части";"интернет-вакансия недопустима; переписка WhatsApp о стоимости смены — письменное доказательство, приоритет над статистикой"
"4";"88-6680/2026";"05.05.2026";"2-594/2025";"заведующий складом";"ИП (Мордовия)";"не определялся (отмена)";"—";"отменено в части";"«самодельные» расчётные листки истца — не доказательство; нужна совокупная оценка штатного расписания, ЛНА и статистики"
"5";"88-5801/2026";"24.03.2026";"2-1604/2025";"инструктор по вождению";"ООО «Центр обучения вождению»";"штатное расписание работодателя";"21 000 руб. (вместо 99 781 по Мосстату)";"оставлено";"п. 23 субсидиарен: допустимое штатное расписание вытесняет статистику"
"6";"88-3831/2026";"17.02.2026";"2-2195/2024";"управляющий медцентром";"ООО «Ортодонт-Премьер»";"обычное вознаграждение (Мосстат)";"~200 000 руб./мес., взыскано 2,3 млн руб.";"оставлено";"при противоречивых сведениях и отсутствии контррасчёта — статистика; самозанятость не защищает работодателя"
"7";"88-566/2026";"27.01.2026";"2-119/2025";"исполнительный директор";"ООО «Центр помощи должникам»";"не определялся (отмена)";"—";"отменено в части";"переписка WhatsApp и листки из Битрикс24 — письменные доказательства; требование «подписанных документов» — ошибка"
"8";"88-27418/2025";"18.11.2025";"2-9/2025";"управляющий пилорамой, подсобный рабочий";"ИП (Курская обл.)";"обычное вознаграждение по ОКВЭД (Курскстат)";"35 506,50 руб./мес.";"оставлено";"статистика по виду деятельности — допустимый замер; по ней же средний заработок за незаконные «отпуска»"
"9";"88-15157/2025";"01.07.2025";"2-6740/2024";"тренер по плаванию";"ООО «Облака Фит»";"заявленный размер, верифицированный статистикой";"50 000 руб./мес.";"оставлено";"статистика как «потолок» заявленного истцом размера"
"10";"88-6120/2025";"24.03.2025";"2-986/2024";"начальник отдела продаж";"ИП";"пояснения истца + сверка с Мосстатом";"65 000 руб./мес.";"оставлено";"недопустимые документы работодателя о низком окладе отвергаются"
